nx,ny,PCP,POP,PTY,REH,SKY,TMP,WSD,년,월,일,시각
50,119,-99.0,-99.0,0.0,-99.0,1.0,-99.0,2.9,2022,3,29,2
50,120,-99.0,-99.0,0.0,-99.0,1.0,-99.0,3.9,2022,3,29,2
50,121,-99.0,-99.0,0.0,-99.0,1.0,-99.0,4.8,2022,3,29,2
50,122,-99.0,-99.0,0.0,-99.0,1.0,-99.0,4.9,2022,3,29,2
50,123,-99.0,-99.0,0.0,-99.0,1.0,-99.0,5.1,2022,3,29,2
50,124,-99.0,-99.0,0.0,-99.0,1.0,-99.0,5.3,2022,3,29,2
50,125,-99.0,-99.0,0.0,-99.0,1.0,-99.0,5.4,2022,3,29,2
50,126,-99.0,-99.0,0.0,-99.0,1.0,-99.0,5.5,2022,3,29,2
50,127,-99.0,-99.0,0.0,-99.0,1.0,-99.0,5.6,2022,3,29,2
50,128,-99.0,-99.0,0.0,-99.0,1.0,-99.0,5.7,2022,3,29,2
50,129,-99.0,-99.0,0.0,-99.0,1.0,-99.0,5.8,2022,3,29,2
50,130,-99.0,-99.0,0.0,-99.0,1.0,-99.0,5.9,2022,3,29,2
50,131,-99.0,-99.0,0.0,-99.0,1.0,-99.0,6.1,2022,3,29,2
50,132,-99.0,-99.0,0.0,-99.0,1.0,-99.0,6.2,2022,3,29,2
50,133,-99.0,-99.0,0.0,-99.0,1.0,-99.0,6.4,2022,3,29,2
50,134,-99.0,-99.0,0.0,-99.0,1.0,-99.0,6.5,2022,3,29,2
50,135,-99.0,-99.0,0.0,-99.0,1.0,-99.0,6.6,2022,3,29,2
51,119,0.0,0.0,0.0,80.0,1.0,3.0,2.3,2022,3,29,2
51,120,0.0,0.0,0.0,75.0,1.0,4.0,2.2,2022,3,29,2
51,121,0.0,0.0,0.0,75.0,1.0,4.0,1.9,2022,3,29,2
51,122,0.0,0.0,0.0,75.0,1.0,4.0,1.7,2022,3,29,2
51,123,0.0,0.0,0.0,75.0,1.0,3.0,1.7,2022,3,29,2
51,124,0.0,0.0,0.0,75.0,1.0,2.0,1.7,2022,3,29,2
51,125,0.0,0.0,0.0,80.0,1.0,0.0,1.8,2022,3,29,2
