tmfc,variable,error
2022052202,TMP,"HTTPSConnectionPool(host='apihub.kma.go.kr', port=443): Read timed out. (read timeout=10)"
2022052202,TMP,dummy or empty content
2022052202,WSD,"HTTPSConnectionPool(host='apihub.kma.go.kr', port=443): Read timed out. (read timeout=10)"
2022052202,WSD,dummy or empty content
2022052202,SKY,"HTTPSConnectionPool(host='apihub.kma.go.kr', port=443): Read timed out. (read timeout=10)"
2022052202,SKY,dummy or empty content
2022052202,PTY,"HTTPSConnectionPool(host='apihub.kma.go.kr', port=443): Read timed out. (read timeout=10)"
2022052202,PTY,dummy or empty content
2022052202,POP,"HTTPSConnectionPool(host='apihub.kma.go.kr', port=443): Read timed out. (read timeout=10)"
2022052202,POP,dummy or empty content
2022052202,PCP,"HTTPSConnectionPool(host='apihub.kma.go.kr', port=443): Read timed out. (read timeout=10)"
2022052202,PCP,dummy or empty content
2022052202,REH,"HTTPSConnectionPool(host='apihub.kma.go.kr', port=443): Read timed out. (read timeout=10)"
2022052202,REH,dummy or empty content
2022052205,WSD,"HTTPSConnectionPool(host='apihub.kma.go.kr', port=443): Read timed out. (read timeout=10)"
2022052205,WSD,dummy or empty content
2022052205,SKY,"HTTPSConnectionPool(host='apihub.kma.go.kr', port=443): Read timed out. (read timeout=10)"
2022052205,SKY,dummy or empty content
2022052205,PTY,"HTTPSConnectionPool(host='apihub.kma.go.kr', port=443): Read timed out. (read timeout=10)"
2022052205,PTY,dummy or empty content
2022052205,POP,"HTTPSConnectionPool(host='apihub.kma.go.kr', port=443): Read timed out. (read timeout=10)"
2022052205,POP,dummy or empty content
2022052205,PCP,"HTTPSConnectionPool(host='apihub.kma.go.kr', port=443): Read timed out. (read timeout=10)"
2022052205,PCP,dummy or empty content
2022052205,REH,"HTTPSConnectionPool(host='apihub.kma.go.kr', port=443): Read timed out. (read timeout=10)"
2022052205,REH,dummy or empty content
2022052208,TMP,"('Connection aborted.', ConnectionResetError(10054, '현재 연결은 원격 호스트에 의해 강제로 끊겼습니다', None, 10054, None))"
2022052208,TMP,dummy or empty content
2022052208,WSD,"HTTPSConnectionPool(host='apihub.kma.go.kr', port=443): Read timed out. (read timeout=10)"
2022052208,WSD,dummy or empty content
2022052208,SKY,"HTTPSConnectionPool(host='apihub.kma.go.kr', port=443): Read timed out. (read timeout=10)"
2022052208,SKY,dummy or empty content
2022052208,PTY,"HTTPSConnectionPool(host='apihub.kma.go.kr', port=443): Read timed out. (read timeout=10)"
2022052208,PTY,dummy or empty content
2022052208,POP,"HTTPSConnectionPool(host='apihub.kma.go.kr', port=443): Max retries exceeded with url: /api/typ01/cgi-bin/url/nph-dfs_shrt_grd?tmfc=2022052208&vars=POP&authKey=frWNe8F-RDW1jXvBfrQ1sg (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000259270EB750>, 'Connection to apihub.kma.go.kr timed out. (connect timeout=10)'))"
2022052208,POP,dummy or empty content
2022052208,PCP,"HTTPSConnectionPool(host='apihub.kma.go.kr', port=443): Read timed out. (read timeout=10)"
2022052208,PCP,dummy or empty content
2022052208,REH,"HTTPSConnectionPool(host='apihub.kma.go.kr', port=443): Read timed out. (read timeout=10)"
2022052208,REH,dummy or empty content
2022052211,TMP,"HTTPSConnectionPool(host='apihub.kma.go.kr', port=443): Read timed out. (read timeout=10)"
2022052211,TMP,dummy or empty content
2022052211,WSD,"HTTPSConnectionPool(host='apihub.kma.go.kr', port=443): Read timed out. (read timeout=10)"
2022052211,WSD,dummy or empty content
2022052211,SKY,"HTTPSConnectionPool(host='apihub.kma.go.kr', port=443): Max retries exceeded with url: /api/typ01/cgi-bin/url/nph-dfs_shrt_grd?tmfc=2022052211&vars=SKY&authKey=frWNe8F-RDW1jXvBfrQ1sg (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000259270EA350>, 'Connection to apihub.kma.go.kr timed out. (connect timeout=10)'))"
2022052211,SKY,dummy or empty content
2022052211,PTY,"HTTPSConnectionPool(host='apihub.kma.go.kr', port=443): Read timed out. (read timeout=10)"
2022052211,PTY,dummy or empty content
2022052211,POP,"HTTPSConnectionPool(host='apihub.kma.go.kr', port=443): Read timed out. (read timeout=10)"
2022052211,POP,dummy or empty content
2022052211,PCP,"HTTPSConnectionPool(host='apihub.kma.go.kr', port=443): Read timed out. (read timeout=10)"
2022052211,PCP,dummy or empty content
2022052211,REH,"HTTPSConnectionPool(host='apihub.kma.go.kr', port=443): Read timed out. (read timeout=10)"
2022052211,REH,dummy or empty content
2022052214,TMP,"HTTPSConnectionPool(host='apihub.kma.go.kr', port=443): Read timed out. (read timeout=10)"
2022052214,TMP,dummy or empty content
2022052302,PTY,"HTTPSConnectionPool(host='apihub.kma.go.kr', port=443): Read timed out. (read timeout=10)"
2022052302,PTY,dummy or empty content
2022081923,WSD,상태코드 403
2022081923,WSD,dummy or empty content
2022081923,SKY,상태코드 403
2022081923,SKY,dummy or empty content
2022081923,PTY,상태코드 403
2022081923,PTY,dummy or empty content
2022081923,POP,상태코드 403
2022081923,POP,dummy or empty content
2022081923,PCP,상태코드 403
2022081923,PCP,dummy or empty content
2022081923,REH,상태코드 403
2022081923,REH,dummy or empty content
2022082002,TMP,상태코드 403
2022082002,TMP,dummy or empty content
2022082002,WSD,상태코드 403
2022082002,WSD,dummy or empty content
2022082002,SKY,상태코드 403
2022082002,SKY,dummy or empty content
2022082002,PTY,상태코드 403
2022082002,PTY,dummy or empty content
2022082002,POP,상태코드 403
2022082002,POP,dummy or empty content
2022082002,PCP,"HTTPSConnectionPool(host='apihub.kma.go.kr', port=443): Max retries exceeded with url: /api/typ01/cgi-bin/url/nph-dfs_shrt_grd?tmfc=2022082002&vars=PCP&authKey=frWNe8F-RDW1jXvBfrQ1sg (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000259270EB110>: Failed to resolve 'apihub.kma.go.kr' ([Errno 11001] getaddrinfo failed)""))"
2022082002,PCP,dummy or empty content
2022082002,REH,"HTTPSConnectionPool(host='apihub.kma.go.kr', port=443): Max retries exceeded with url: /api/typ01/cgi-bin/url/nph-dfs_shrt_grd?tmfc=2022082002&vars=REH&authKey=frWNe8F-RDW1jXvBfrQ1sg (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000259270EB890>: Failed to resolve 'apihub.kma.go.kr' ([Errno 11001] getaddrinfo failed)""))"
2022082002,REH,dummy or empty content
2022082005,TMP,"HTTPSConnectionPool(host='apihub.kma.go.kr', port=443): Max retries exceeded with url: /api/typ01/cgi-bin/url/nph-dfs_shrt_grd?tmfc=2022082005&vars=TMP&authKey=frWNe8F-RDW1jXvBfrQ1sg (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000259270E9F90>: Failed to resolve 'apihub.kma.go.kr' ([Errno 11001] getaddrinfo failed)""))"
2022082005,TMP,dummy or empty content
2022082005,WSD,"HTTPSConnectionPool(host='apihub.kma.go.kr', port=443): Max retries exceeded with url: /api/typ01/cgi-bin/url/nph-dfs_shrt_grd?tmfc=2022082005&vars=WSD&authKey=frWNe8F-RDW1jXvBfrQ1sg (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000025927288190>: Failed to resolve 'apihub.kma.go.kr' ([Errno 11001] getaddrinfo failed)""))"
2022082005,WSD,dummy or empty content
2022082005,SKY,상태코드 403
2022082005,SKY,dummy or empty content
2022082005,PTY,상태코드 403
2022082005,PTY,dummy or empty content
2022082005,POP,상태코드 403
2022082005,POP,dummy or empty content
2022082005,PCP,상태코드 403
2022082005,PCP,dummy or empty content
2022082005,REH,상태코드 403
2022082005,REH,dummy or empty content
2022082008,TMP,상태코드 403
2022082008,TMP,dummy or empty content
2022082008,WSD,상태코드 403
2022082008,WSD,dummy or empty content
2022082008,SKY,상태코드 403
2022082008,SKY,dummy or empty content
2022082008,PTY,상태코드 403
2022082008,PTY,dummy or empty content
2022082008,POP,상태코드 403
2022082008,POP,dummy or empty content
2022082008,PCP,상태코드 403
2022082008,PCP,dummy or empty content
2022082008,REH,상태코드 403
2022082008,REH,dummy or empty content
2022082011,TMP,상태코드 403
2022082011,TMP,dummy or empty content
2022082011,WSD,상태코드 403
2022082011,WSD,dummy or empty content
2022082011,SKY,상태코드 403
2022082011,SKY,dummy or empty content
2022082011,PTY,상태코드 403
2022082011,PTY,dummy or empty content
2022082011,POP,상태코드 403
2022082011,POP,dummy or empty content
2022082011,PCP,상태코드 403
2022082011,PCP,dummy or empty content
2022082011,REH,상태코드 403
2022082011,REH,dummy or empty content
2022082014,TMP,상태코드 403
2022082014,TMP,dummy or empty content
2022082014,WSD,상태코드 403
2022082014,WSD,dummy or empty content
2022082014,SKY,상태코드 403
2022082014,SKY,dummy or empty content
2022082014,PTY,상태코드 403
2022082014,PTY,dummy or empty content
2022082014,POP,상태코드 403
2022082014,POP,dummy or empty content
2022082014,PCP,상태코드 403
2022082014,PCP,dummy or empty content
2022082014,REH,상태코드 403
2022082014,REH,dummy or empty content
2022082017,TMP,상태코드 403
2022082017,TMP,dummy or empty content
2022082017,WSD,상태코드 403
2022082017,WSD,dummy or empty content
2022082017,SKY,상태코드 403
2022082017,SKY,dummy or empty content
2022082017,PTY,상태코드 403
2022082017,PTY,dummy or empty content
2022082017,POP,상태코드 403
2022082017,POP,dummy or empty content
2022082017,PCP,상태코드 403
2022082017,PCP,dummy or empty content
2022082017,REH,상태코드 403
2022082017,REH,dummy or empty content
2022082020,TMP,상태코드 403
2022082020,TMP,dummy or empty content
2022082020,WSD,상태코드 403
2022082020,WSD,dummy or empty content
2022082020,SKY,상태코드 403
2022082020,SKY,dummy or empty content
2022082020,PTY,상태코드 403
2022082020,PTY,dummy or empty content
2022082020,POP,상태코드 403
2022082020,POP,dummy or empty content
2022082020,PCP,상태코드 403
2022082020,PCP,dummy or empty content
2022082020,REH,상태코드 403
2022082020,REH,dummy or empty content
2022082023,TMP,상태코드 403
2022082023,TMP,dummy or empty content
2022082023,WSD,상태코드 403
2022082023,WSD,dummy or empty content
2022082023,SKY,상태코드 403
2022082023,SKY,dummy or empty content
2022082023,PTY,상태코드 403
2022082023,PTY,dummy or empty content
2022082023,POP,상태코드 403
2022082023,POP,dummy or empty content
2022082023,PCP,상태코드 403
2022082023,PCP,dummy or empty content
2022082023,REH,상태코드 403
2022082023,REH,dummy or empty content
2022082102,TMP,상태코드 403
2022082102,TMP,dummy or empty content
2022082102,WSD,상태코드 403
2022082102,WSD,dummy or empty content
2022082102,SKY,상태코드 403
2022082102,SKY,dummy or empty content
2022082102,PTY,상태코드 403
2022082102,PTY,dummy or empty content
2022082102,POP,상태코드 403
2022082102,POP,dummy or empty content
2022082102,PCP,상태코드 403
2022082102,PCP,dummy or empty content
2022082102,REH,상태코드 403
2022082102,REH,dummy or empty content
2022082105,TMP,상태코드 403
2022082105,TMP,dummy or empty content
2022082105,WSD,상태코드 403
2022082105,WSD,dummy or empty content
2022082105,SKY,상태코드 403
2022082105,SKY,dummy or empty content
2022082105,PTY,상태코드 403
2022082105,PTY,dummy or empty content
2022082105,POP,상태코드 403
2022082105,POP,dummy or empty content
2022082105,PCP,상태코드 403
2022082105,PCP,dummy or empty content
2022082105,REH,상태코드 403
2022082105,REH,dummy or empty content
2022082108,TMP,상태코드 403
2022082108,TMP,dummy or empty content
2022082108,WSD,상태코드 403
2022082108,WSD,dummy or empty content
2022082108,SKY,상태코드 403
2022082108,SKY,dummy or empty content
2022082108,PTY,상태코드 403
2022082108,PTY,dummy or empty content
2022082108,POP,상태코드 403
2022082108,POP,dummy or empty content
2022082108,PCP,상태코드 403
2022082108,PCP,dummy or empty content
2022082108,REH,상태코드 403
2022082108,REH,dummy or empty content
2022082111,TMP,상태코드 403
2022082111,TMP,dummy or empty content
2022082111,WSD,상태코드 403
2022082111,WSD,dummy or empty content
2022082111,SKY,상태코드 403
2022082111,SKY,dummy or empty content
2022082111,PTY,상태코드 403
2022082111,PTY,dummy or empty content
2022082111,POP,상태코드 403
2022082111,POP,dummy or empty content
2022082111,PCP,상태코드 403
2022082111,PCP,dummy or empty content
2022082111,REH,상태코드 403
2022082111,REH,dummy or empty content
2022082114,TMP,상태코드 403
2022082114,TMP,dummy or empty content
2022082114,WSD,상태코드 403
2022082114,WSD,dummy or empty content
2022082114,SKY,상태코드 403
2022082114,SKY,dummy or empty content
2022082114,PTY,상태코드 403
2022082114,PTY,dummy or empty content
2022082114,POP,상태코드 403
2022082114,POP,dummy or empty content
2022082114,PCP,상태코드 403
2022082114,PCP,dummy or empty content
2022082114,REH,상태코드 403
2022082114,REH,dummy or empty content
2022082117,TMP,상태코드 403
2022082117,TMP,dummy or empty content
2022082117,WSD,상태코드 403
2022082117,WSD,dummy or empty content
2022082117,SKY,상태코드 403
2022082117,SKY,dummy or empty content
2022082117,PTY,상태코드 403
2022082117,PTY,dummy or empty content
2022082117,POP,상태코드 403
2022082117,POP,dummy or empty content
2022082117,PCP,상태코드 403
2022082117,PCP,dummy or empty content
2022082117,REH,상태코드 403
2022082117,REH,dummy or empty content
2022082120,TMP,상태코드 403
2022082120,TMP,dummy or empty content
2022082120,WSD,상태코드 403
2022082120,WSD,dummy or empty content
2022082120,SKY,상태코드 403
2022082120,SKY,dummy or empty content
2022082120,PTY,상태코드 403
2022082120,PTY,dummy or empty content
2022082120,POP,상태코드 403
2022082120,POP,dummy or empty content
2022082120,PCP,상태코드 403
2022082120,PCP,dummy or empty content
2022082120,REH,상태코드 403
2022082120,REH,dummy or empty content
2022082123,TMP,상태코드 403
2022082123,TMP,dummy or empty content
2022082123,WSD,상태코드 403
2022082123,WSD,dummy or empty content
2022082123,SKY,상태코드 403
2022082123,SKY,dummy or empty content
2022082123,PTY,상태코드 403
2022082123,PTY,dummy or empty content
2022082123,POP,상태코드 403
2022082123,POP,dummy or empty content
2022082123,PCP,상태코드 403
2022082123,PCP,dummy or empty content
2022082123,REH,상태코드 403
2022082123,REH,dummy or empty content
2022082202,TMP,상태코드 403
2022082202,TMP,dummy or empty content
2022082202,WSD,상태코드 403
2022082202,WSD,dummy or empty content
2022082202,SKY,상태코드 403
2022082202,SKY,dummy or empty content
2022082202,PTY,상태코드 403
2022082202,PTY,dummy or empty content
2022082202,POP,상태코드 403
2022082202,POP,dummy or empty content
2022082202,PCP,상태코드 403
2022082202,PCP,dummy or empty content
2022082202,REH,상태코드 403
2022082202,REH,dummy or empty content
2022082205,TMP,상태코드 403
2022082205,TMP,dummy or empty content
2022082205,WSD,상태코드 403
2022082205,WSD,dummy or empty content
2022082205,SKY,상태코드 403
2022082205,SKY,dummy or empty content
2022082205,PTY,상태코드 403
2022082205,PTY,dummy or empty content
2022082205,POP,상태코드 403
2022082205,POP,dummy or empty content
2022082205,PCP,상태코드 403
2022082205,PCP,dummy or empty content
2022082205,REH,상태코드 403
2022082205,REH,dummy or empty content
2022082208,TMP,상태코드 403
2022082208,TMP,dummy or empty content
2022082208,WSD,상태코드 403
2022082208,WSD,dummy or empty content
2022082208,SKY,상태코드 403
2022082208,SKY,dummy or empty content
2022082208,PTY,상태코드 403
2022082208,PTY,dummy or empty content
2022082208,POP,상태코드 403
2022082208,POP,dummy or empty content
2022082208,PCP,상태코드 403
2022082208,PCP,dummy or empty content
2022082208,REH,상태코드 403
2022082208,REH,dummy or empty content
2022082211,TMP,상태코드 403
2022082211,TMP,dummy or empty content
2022082211,WSD,상태코드 403
2022082211,WSD,dummy or empty content
2022082211,SKY,상태코드 403
2022082211,SKY,dummy or empty content
2022082211,PTY,상태코드 403
2022082211,PTY,dummy or empty content
2022082211,POP,상태코드 403
2022082211,POP,dummy or empty content
2022082211,PCP,상태코드 403
2022082211,PCP,dummy or empty content
2022082211,REH,상태코드 403
2022082211,REH,dummy or empty content
2022082214,TMP,상태코드 403
2022082214,TMP,dummy or empty content
2022082214,WSD,상태코드 403
2022082214,WSD,dummy or empty content
2022082214,SKY,상태코드 403
2022082214,SKY,dummy or empty content
2022082214,PTY,상태코드 403
2022082214,PTY,dummy or empty content
2022082214,POP,상태코드 403
2022082214,POP,dummy or empty content
2022082214,PCP,상태코드 403
2022082214,PCP,dummy or empty content
2022082214,REH,상태코드 403
2022082214,REH,dummy or empty content
2022082217,TMP,상태코드 403
2022082217,TMP,dummy or empty content
2022082217,WSD,상태코드 403
2022082217,WSD,dummy or empty content
2022082217,SKY,상태코드 403
2022082217,SKY,dummy or empty content
2022082217,PTY,상태코드 403
2022082217,PTY,dummy or empty content
2022082217,POP,상태코드 403
2022082217,POP,dummy or empty content
2022082217,PCP,상태코드 403
2022082217,PCP,dummy or empty content
2022082217,REH,상태코드 403
2022082217,REH,dummy or empty content
2022082220,TMP,상태코드 403
