nx,ny,PCP,POP,PTY,REH,SKY,TMP,WSD
50,119,-99.0,-99.0,0.0,-99.0,1.0,-99.0,3.8
50,120,-99.0,-99.0,0.0,-99.0,1.0,-99.0,4.9
50,121,-99.0,-99.0,0.0,-99.0,1.0,-99.0,6.0
50,122,-99.0,-99.0,0.0,-99.0,1.0,-99.0,7.0
50,123,-99.0,-99.0,0.0,-99.0,1.0,-99.0,7.9
50,124,-99.0,-99.0,0.0,-99.0,1.0,-99.0,8.6
50,125,-99.0,-99.0,0.0,-99.0,1.0,-99.0,9.1
50,126,-99.0,-99.0,0.0,-99.0,1.0,-99.0,9.3
50,127,-99.0,-99.0,0.0,-99.0,1.0,-99.0,9.3
50,128,-99.0,-99.0,0.0,-99.0,1.0,-99.0,9.4
50,129,-99.0,-99.0,0.0,-99.0,1.0,-99.0,9.3
50,130,-99.0,-99.0,0.0,-99.0,1.0,-99.0,9.2
50,131,-99.0,-99.0,0.0,-99.0,1.0,-99.0,9.2
50,132,-99.0,-99.0,0.0,-99.0,1.0,-99.0,9.1
50,133,-99.0,-99.0,0.0,-99.0,1.0,-99.0,9.1
50,134,-99.0,-99.0,0.0,-99.0,1.0,-99.0,9.1
50,135,-99.0,-99.0,0.0,-99.0,1.0,-99.0,9.1
51,119,0.0,0.0,0.0,90.0,1.0,0.0,2.1
51,120,0.0,0.0,0.0,85.0,1.0,1.0,2.0
51,121,0.0,0.0,0.0,85.0,1.0,1.0,2.0
51,122,0.0,0.0,0.0,85.0,1.0,0.0,1.8
51,123,0.0,0.0,0.0,85.0,1.0,-1.0,1.8
51,124,0.0,0.0,0.0,85.0,1.0,-2.0,1.8
51,125,0.0,0.0,0.0,85.0,1.0,-3.0,2.1
51,126,0.0,0.0,0.0,85.0,1.0,-3.0,2.0
51,127,0.0,0.0,0.0,85.0,1.0,-2.0,2.1
51,128,0.0,0.0,0.0,85.0,1.0,-2.0,2.1
51,129,0.0,0.0,0.0,85.0,1.0,-3.0,2.4
51,130,0.0,0.0,0.0,85.0,1.0,-4.0,2.9
51,131,0.0,0.0,0.0,85.0,1.0,-3.0,3.4
51,132,0.0,0.0,0.0,85.0,1.0,-7.0,3.9
51,133,0.0,0.0,0.0,80.0,1.0,-5.0,3.6
51,134,0.0,0.0,0.0,75.0,1.0,-3.0,3.1
51,135,0.0,0.0,0.0,75.0,1.0,-3.0,2.4
52,119,-99.0,-99.0,0.0,-99.0,1.0,-99.0,4.3
52,120,-99.0,-99.0,0.0,-99.0,1.0,-99.0,4.2
52,121,-99.0,-99.0,0.0,-99.0,1.0,-99.0,4.3
52,122,-99.0,-99.0,0.0,-99.0,1.0,-99.0,4.5
52,123,-99.0,-99.0,0.0,-99.0,1.0,-99.0,4.6
52,124,-99.0,-99.0,0.0,-99.0,1.0,-99.0,4.8
52,125,-99.0,-99.0,0.0,-99.0,1.0,-99.0,4.9
52,126,-99.0,-99.0,0.0,-99.0,1.0,-99.0,4.8
52,127,-99.0,-99.0,0.0,-99.0,1.0,-99.0,4.8
52,128,-99.0,-99.0,0.0,-99.0,1.0,-99.0,4.9
52,129,-99.0,-99.0,0.0,-99.0,1.0,-99.0,5.2
52,130,-99.0,-99.0,0.0,-99.0,1.0,-99.0,5.3
52,131,-99.0,-99.0,0.0,-99.0,1.0,-99.0,5.4
52,132,-99.0,-99.0,0.0,-99.0,1.0,-99.0,5.4
52,133,-99.0,-99.0,0.0,-99.0,1.0,-99.0,5.4
52,134,-99.0,-99.0,0.0,-99.0,1.0,-99.0,5.5
52,135,-99.0,-99.0,0.0,-99.0,1.0,-99.0,5.6
53,119,-99.0,-99.0,0.0,-99.0,1.0,-99.0,10.1
53,120,-99.0,-99.0,0.0,-99.0,1.0,-99.0,10.3
53,121,-99.0,-99.0,0.0,-99.0,1.0,-99.0,10.3
53,122,-99.0,-99.0,0.0,-99.0,1.0,-99.0,10.5
53,123,-99.0,-99.0,0.0,-99.0,1.0,-99.0,10.6
53,124,-99.0,-99.0,0.0,-99.0,1.0,-99.0,10.7
53,125,-99.0,-99.0,0.0,-99.0,1.0,-99.0,10.8
53,126,-99.0,-99.0,0.0,-99.0,1.0,-99.0,10.9
53,127,-99.0,-99.0,0.0,-99.0,1.0,-99.0,10.9
53,128,-99.0,-99.0,0.0,-99.0,1.0,-99.0,10.9
53,129,-99.0,-99.0,0.0,-99.0,1.0,-99.0,10.9
53,130,-99.0,-99.0,0.0,-99.0,1.0,-99.0,10.7
53,131,-99.0,-99.0,0.0,-99.0,1.0,-99.0,10.5
53,132,-99.0,-99.0,0.0,-99.0,1.0,-99.0,10.3
53,133,-99.0,-99.0,0.0,-99.0,1.0,-99.0,9.9
53,134,-99.0,-99.0,0.0,-99.0,1.0,-99.0,9.8
53,135,-99.0,-99.0,0.0,-99.0,1.0,-99.0,9.5
54,119,0.0,0.0,0.0,80.0,1.0,0.0,3.9
54,120,0.0,0.0,0.0,80.0,1.0,1.0,4.4
