nx,ny,TMP
50,119,-99.0
50,120,-99.0
50,121,-99.0
50,122,-99.0
50,123,-99.0
50,124,-99.0
50,125,-99.0
50,126,-99.0
50,127,-99.0
50,128,-99.0
50,129,-99.0
50,130,-99.0
50,131,-99.0
50,132,-99.0
50,133,-99.0
50,134,-99.0
50,135,-99.0
51,119,12.0
51,120,13.0
51,121,12.0
51,122,13.0
51,123,12.0
51,124,12.0
51,125,10.0
51,126,11.0
51,127,11.0
51,128,12.0
51,129,11.0
51,130,11.0
51,131,10.0
51,132,6.0
51,133,8.0
51,134,11.0
51,135,11.0
52,119,-99.0
52,120,-99.0
52,121,-99.0
52,122,-99.0
52,123,-99.0
52,124,-99.0
52,125,-99.0
52,126,-99.0
52,127,-99.0
52,128,-99.0
52,129,-99.0
52,130,-99.0
52,131,-99.0
52,132,-99.0
52,133,-99.0
52,134,-99.0
52,135,-99.0
53,119,-99.0
53,120,-99.0
53,121,-99.0
53,122,-99.0
53,123,-99.0
53,124,-99.0
53,125,-99.0
53,126,-99.0
53,127,-99.0
53,128,-99.0
53,129,-99.0
53,130,-99.0
53,131,-99.0
53,132,-99.0
53,133,-99.0
53,134,-99.0
53,135,-99.0
54,119,12.0
54,120,12.0
54,121,9.0
54,122,10.0
54,123,11.0
54,124,12.0
54,125,11.0
54,126,12.0
54,127,11.0
54,128,12.0
54,129,12.0
54,130,13.0
54,131,14.0
54,132,12.0
54,133,12.0
54,134,12.0
54,135,11.0
55,119,-99.0
55,120,-99.0
55,121,-99.0
55,122,-99.0
55,123,-99.0
55,124,-99.0
55,125,-99.0
55,126,-99.0
55,127,-99.0
55,128,-99.0
55,129,-99.0
55,130,-99.0
55,131,-99.0
55,132,-99.0
55,133,17.0
55,134,-99.0
55,135,-99.0
56,119,-99.0
56,120,-99.0
56,121,-99.0
56,122,-99.0
56,123,-99.0
56,124,-99.0
56,125,-99.0
56,126,-99.0
56,127,-99.0
56,128,-99.0
56,129,-99.0
56,130,-99.0
56,131,-99.0
56,132,-99.0
56,133,-99.0
56,134,-99.0
56,135,-99.0
57,119,11.0
57,120,11.0
57,121,11.0
57,122,12.0
57,123,11.0
57,124,10.0
57,125,10.0
57,126,11.0
57,127,10.0
57,128,11.0
57,129,11.0
57,130,11.0
57,131,10.0
57,132,12.0
57,133,13.0
57,134,15.0
57,135,-99.0
58,119,-99.0
58,120,-99.0
58,121,-99.0
58,122,-99.0
58,123,-99.0
58,124,-99.0
58,125,16.0
58,126,16.0
58,127,16.0
58,128,14.0
58,129,13.0
58,130,13.0
58,131,10.0
58,132,11.0
58,133,10.0
58,134,11.0
58,135,12.0
59,119,-99.0
59,120,-99.0
59,121,-99.0
59,122,-99.0
59,123,-99.0
59,124,-99.0
59,125,-99.0
59,126,-99.0
59,127,-99.0
59,128,-99.0
59,129,-99.0
59,130,-99.0
59,131,-99.0
59,132,-99.0
59,133,-99.0
59,134,-99.0
59,135,-99.0
60,119,12.0
60,120,14.0
60,121,-99.0
60,122,-99.0
60,123,-99.0
60,124,-99.0
60,125,-99.0
60,126,-99.0
60,127,-99.0
60,128,-99.0
60,129,-99.0
60,130,-99.0
60,131,-99.0
60,132,-99.0
60,133,-99.0
60,134,-99.0
60,135,-99.0
61,119,12.0
61,120,12.0
61,121,12.0
61,122,12.0
61,123,11.0
61,124,11.0
61,125,12.0
61,126,12.0
61,127,12.0
61,128,12.0
61,129,12.0
61,130,12.0
61,131,11.0
61,132,11.0
61,133,10.0
61,134,10.0
61,135,10.0
62,119,-99.0
62,120,-99.0
62,121,-99.0
62,122,-99.0
62,123,-99.0
62,124,-99.0
62,125,-99.0
62,126,-99.0
62,127,-99.0
62,128,-99.0
62,129,-99.0
62,130,-99.0
62,131,-99.0
62,132,-99.0
62,133,-99.0
62,134,-99.0
62,135,-99.0
63,119,-99.0
63,120,-99.0
63,121,-99.0
63,122,-99.0
63,123,-99.0
63,124,-99.0
63,125,-99.0
63,126,-99.0
63,127,-99.0
63,128,-99.0
63,129,-99.0
63,130,-99.0
63,131,-99.0
63,132,-99.0
63,133,-99.0
63,134,-99.0
63,135,-99.0
64,119,11.0
64,120,10.0
64,121,9.0
64,122,10.0
64,123,10.0
64,124,10.0
64,125,10.0
64,126,9.0
64,127,8.0
64,128,8.0
64,129,12.0
64,130,10.0
64,131,10.0
64,132,9.0
64,133,9.0
64,134,10.0
64,135,9.0
65,119,-99.0
65,120,-99.0
65,121,-99.0
65,122,-99.0
65,123,-99.0
65,124,-99.0
65,125,-99.0
65,126,-99.0
65,127,-99.0
65,128,-99.0
65,129,-99.0
65,130,-99.0
65,131,-99.0
65,132,-99.0
65,133,-99.0
65,134,-99.0
65,135,-99.0
66,119,-99.0
66,120,-99.0
66,121,-99.0
66,122,-99.0
66,123,-99.0
66,124,-99.0
66,125,-99.0
66,126,-99.0
66,127,-99.0
66,128,-99.0
66,129,-99.0
66,130,-99.0
66,131,-99.0
66,132,-99.0
66,133,-99.0
66,134,-99.0
66,135,-99.0
